Date,iShares MSCI ACWI UCITS ETF (Acc) (IE00B6R52259)
05/2005,3.954305383065135
06/2005,4.074350279322094
07/2005,4.225065853654602
08/2005,4.221751087799932
09/2005,4.405600977366664
10/2005,4.2938014317427555
11/2005,4.547735824114912
12/2005,4.648886993747942
01/2006,4.74875776393723
02/2006,4.839990711340342
03/2006,4.849540029763254
04/2006,4.839452089941599
05/2006,4.532262741877633
06/2006,4.586650670314525
07/2006,4.598786795083395
08/2006,4.688714640818326
09/2006,4.815437050294565
10/2006,4.982020757226366
11/2006,4.928796310529935
12/2006,5.050689510563669
01/2007,5.186260798571148
02/2007,5.0597171524771705
03/2007,5.1209990595100034
04/2007,5.237434272370644
05/2007,5.4581296378282005
06/2007,5.422167180020613
07/2007,5.261012067038616
08/2007,5.248576694292259
09/2007,5.346181946264634
10/2007,5.451875600813238
11/2007,5.101255681315337
12/2007,5.058992908782045
01/2008,4.5984115747765015
02/2008,4.522461483326545
03/2008,4.275516293270428
04/2008,4.595515650203779
05/2008,4.681434340701744
06/2008,4.2279951187272475
07/2008,4.159199804428074
08/2008,4.312725318584435
09/2008,3.888746800099807
10/2008,3.496495487640862
11/2008,3.2761281015080055
12/2008,3.1055133318486208
01/2009,3.084698061216919
02/2009,2.821940835802267
03/2009,2.9029911791105154
04/2009,3.255926287783064
05/2009,3.3744301350761017
06/2009,3.3477548735252816
07/2009,3.64203524992188
08/2009,3.7377731840194666
09/2009,3.8107542572720114
10/2009,3.7121933955917945
11/2009,3.8085129619167546
12/2009,4.0544080094236215
01/2010,4.001544976718663
02/2010,4.171639883753426
03/2010,4.471360692120966
04/2010,4.535662611765397
05/2010,4.445489305780621
06/2010,4.322000452241306
07/2010,4.402681896553613
08/2010,4.366444922139904
09/2010,4.4455477740881175
10/2010,4.536892182846089
11/2010,4.7303434442888515
12/2010,4.939018576884623
01/2011,4.895892729597558
02/2011,4.987913539731685
03/2011,4.8532939028727355
04/2011,4.8317245258852415
05/2011,4.8878406352482795
06/2011,4.789263452675964
07/2011,4.775818031380592
08/2011,4.3698788432532885
09/2011,4.235819506312695
10/2011,4.523233453821914
11/2011,4.580078877367766
12/2011,4.740905980351031
01/2012,4.926845735008891
02/2012,5.0735640497908765
03/2012,5.142182716669286
04/2012,5.140512000287028
05/2012,4.989657090719525
06/2012,5.15993053355502
07/2012,5.361747160173287
08/2012,5.33800284605809
09/2012,5.371578597307549
10/2012,5.31038185693224
11/2012,5.382872033658212
12/2012,5.419685818016414
01/2013,5.521022677100441
02/2013,5.6988381524584435
03/2013,5.951707476488275
04/2013,5.999623118773063
05/2013,6.017597517486577
06/2013,5.810094647753929
07/2013,5.999671557231622
08/2013,5.893956419159513
09/2013,6.075720046202059
10/2013,6.257240147853904
11/2013,6.36145174085604
12/2013,6.387842168887482
01/2014,6.257482508950863
02/2014,6.420741467343804
03/2014,6.463338124115905
04/2014,6.497981858398407
05/2014,6.759355751677984
06/2014,6.862701602669581
07/2014,6.921819268819811
08/2014,7.178911744992218
09/2014,7.28179231713546
10/2014,7.368062323957509
11/2014,7.517848535429926
12/2014,7.582431435458323
01/2015,8.016393451137729
02/2015,8.51396702477951
03/2015,8.760670152517962
04/2015,8.650984925720797
05/2015,8.83808615288737
06/2015,8.463471218931922
07/2015,8.711512227293717
08/2015,7.936895884060712
09/2015,7.659744209111744
10/2015,8.401174878509709
11/2015,8.679250721782573
12/2015,8.283716746038033
01/2016,7.761160027036866
02/2016,7.733461744068401
03/2016,7.947773191779623
04/2016,8.055719130750724
05/2016,8.251571530065096
