period,year,half-year,quarter,month,day,indicator,unit,Status,Data producer,Region / business partner,Data type,values,sort
year,1999,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F001
year,1999,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",99.4,AB003C000D000E000F001G000
year,1999,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F001G001
year,1999,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",91.5,AB003C000D000E000F001G002
year,1999,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",101.5,AB003C000D000E000F001G003
year,1999,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-2.5,AB004C006D000
year,1999,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.5,AB004C006D001
year,1999,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-2.8,AB004C006D002
year,1999,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.8,AB004C006D003
year,1999,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-3.8,AB004C006D004
year,2000,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000
year,2000,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F000
year,2000,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F000G000
year,2000,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F000G001
year,2000,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F000G002
year,2000,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F000G003
year,2000,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F001
year,2000,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F001G000
year,2000,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F001G001
year,2000,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F001G002
year,2000,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.0,AB003C000D000E000F001G003
year,2000,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.0,AB004C006D000
year,2000,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.6,AB004C006D001
year,2000,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.0,AB004C006D002
year,2000,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.3,AB004C006D003
year,2000,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-1.5,AB004C006D004
year,2001,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",100.8,AB003C000D000E000
year,2001,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",102.4,AB003C000D000E000F000
year,2001,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",97.4,AB003C000D000E000F000G000
year,2001,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",104.5,AB003C000D000E000F000G001
year,2001,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",106.1,AB003C000D000E000F000G002
year,2001,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",104.3,AB003C000D000E000F000G003
year,2001,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",96.6,AB003C000D000E000F001
year,2001,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",97.6,AB003C000D000E000F001G000
year,2001,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",96.5,AB003C000D000E000F001G001
year,2001,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",99.6,AB003C000D000E000F001G002
year,2001,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",96.0,AB003C000D000E000F001G003
year,2001,,,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.8,AB004C006
year,2001,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-3.4,AB004C006D000
