period,year,half-year,quarter,month,day,indicator,unit,Status,Data producer,Region / business partner,Data type,values,sort
quarter,2009,1,2,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",134.8,AB003C000D000E000F001G003
quarter,2009,1,2,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.7,AB004C006
quarter,2009,1,2,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.6,AB004C006D000
quarter,2009,1,2,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",13.8,AB004C006D001
quarter,2009,1,2,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.2,AB004C006D002
quarter,2009,1,2,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-0.9,AB004C006D003
quarter,2009,1,2,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",11.0,AB004C006D004
quarter,2009,1,2,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.1,AB004C006D005
quarter,2009,1,2,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.2,AB004C006D006
quarter,2009,1,2,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.0,AB004C006D007
quarter,2009,1,2,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-5.9,AB004C006D008
quarter,2009,1,2,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.7,AB004C006D009
quarter,2009,2,3,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",119.5,AB003C000D000E000
quarter,2009,2,3,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",114.4,AB003C000D000E000F000
quarter,2009,2,3,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",104.5,AB003C000D000E000F000G000
quarter,2009,2,3,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",118.6,AB003C000D000E000F000G001
quarter,2009,2,3,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",124.8,AB003C000D000E000F000G002
quarter,2009,2,3,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",117.7,AB003C000D000E000F000G003
quarter,2009,2,3,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",133.4,AB003C000D000E000F001
quarter,2009,2,3,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",146.8,AB003C000D000E000F001G000
quarter,2009,2,3,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",132.4,AB003C000D000E000F001G001
quarter,2009,2,3,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.8,AB003C000D000E000F001G002
quarter,2009,2,3,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",133.9,AB003C000D000E000F001G003
quarter,2009,2,3,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.2,AB004C006
quarter,2009,2,3,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.5,AB004C006D000
quarter,2009,2,3,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.5,AB004C006D001
quarter,2009,2,3,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.7,AB004C006D002
quarter,2009,2,3,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-0.2,AB004C006D003
quarter,2009,2,3,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.7,AB004C006D004
quarter,2009,2,3,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.2,AB004C006D005
quarter,2009,2,3,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-0.9,AB004C006D006
quarter,2009,2,3,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.5,AB004C006D007
quarter,2009,2,3,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.5,AB004C006D008
quarter,2009,2,3,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.5,AB004C006D009
quarter,2009,2,4,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",120.0,AB003C000D000E000
quarter,2009,2,4,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",114.1,AB003C000D000E000F000
quarter,2009,2,4,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.1,AB003C000D000E000F000G000
quarter,2009,2,4,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",117.1,AB003C000D000E000F000G001
quarter,2009,2,4,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",122.2,AB003C000D000E000F000G002
quarter,2009,2,4,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",116.4,AB003C000D000E000F000G003
quarter,2009,2,4,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",135.8,AB003C000D000E000F001
quarter,2009,2,4,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",151.7,AB003C000D000E000F001G000
quarter,2009,2,4,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",134.5,AB003C000D000E000F001G001
quarter,2009,2,4,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",125.9,AB003C000D000E000F001G002
quarter,2009,2,4,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",136.0,AB003C000D000E000F001G003
quarter,2009,2,4,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.2,AB004C006
quarter,2009,2,4,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.5,AB004C006D000
quarter,2009,2,4,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.5,AB004C006D001
quarter,2009,2,4,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.1,AB004C006D002
quarter,2009,2,4,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-1.6,AB004C006D003
quarter,2009,2,4,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.0,AB004C006D004
quarter,2009,2,4,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.2,AB004C006D005
quarter,2009,2,4,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.8,AB004C006D006
quarter,2009,2,4,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.6,AB004C006D007
quarter,2009,2,4,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.4,AB004C006D008
quarter,2009,2,4,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-0.1,AB004C006D009
quarter,2010,1,1,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",126.4,AB003C000D000E000
quarter,2010,1,1,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",122.0,AB003C000D000E000F000
quarter,2010,1,1,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",117.9,AB003C000D000E000F000G000
quarter,2010,1,1,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.8,AB003C000D000E000F000G001
quarter,2010,1,1,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",125.8,AB003C000D000E000F000G002
quarter,2010,1,1,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.5,AB003C000D000E000F000G003
quarter,2010,1,1,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",138.1,AB003C000D000E000F001
quarter,2010,1,1,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",170.9,AB003C000D000E000F001G000
quarter,2010,1,1,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",135.6,AB003C000D000E000F001G001
quarter,2010,1,1,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",128.4,AB003C000D000E000F001G002
quarter,2010,1,1,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",136.8,AB003C000D000E000F001G003
quarter,2010,1,1,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.6,AB004C006
quarter,2010,1,1,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.6,AB004C006D000
quarter,2010,1,1,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",31.5,AB004C006D001
quarter,2010,1,1,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.7,AB004C006D002
quarter,2010,1,1,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.9,AB004C006D003
quarter,2010,1,1,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.0,AB004C006D004
quarter,2010,1,1,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.1,AB004C006D005
quarter,2010,1,1,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.7,AB004C006D006
quarter,2010,1,1,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.5,AB004C006D007
quarter,2010,1,1,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.5,AB004C006D008
quarter,2010,1,1,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.5,AB004C006D009
quarter,2010,1,2,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",126.9,AB003C000D000E000
quarter,2010,1,2,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",121.3,AB003C000D000E000F000
quarter,2010,1,2,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",117.0,AB003C000D000E000F000G000
quarter,2010,1,2,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.1,AB003C000D000E000F000G001
quarter,2010,1,2,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",124.0,AB003C000D000E000F000G002
quarter,2010,1,2,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.0,AB003C000D000E000F000G003
quarter,2010,1,2,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",142.2,AB003C000D000E000F001
quarter,2010,1,2,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",147.4,AB003C000D000E000F001G000
quarter,2010,1,2,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",141.8,AB003C000D000E000F001G001
quarter,2010,1,2,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",130.6,AB003C000D000E000F001G002
quarter,2010,1,2,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",143.7,AB003C000D000E000F001G003
quarter,2010,1,2,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.6,AB004C006
quarter,2010,1,2,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.2,AB004C006D000
quarter,2010,1,2,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-9.3,AB004C006D001
quarter,2010,1,2,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.5,AB004C006D002
quarter,2010,1,2,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.2,AB004C006D003
quarter,2010,1,2,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.6,AB004C006D004
quarter,2010,1,2,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.8,AB004C006D005
quarter,2010,1,2,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.8,AB004C006D006
quarter,2010,1,2,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.8,AB004C006D007
quarter,2010,1,2,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.3,AB004C006D008
quarter,2010,1,2,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.7,AB004C006D009
quarter,2010,2,3,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",127.0,AB003C000D000E000
quarter,2010,2,3,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",119.8,AB003C000D000E000F000
quarter,2010,2,3,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",114.3,AB003C000D000E000F000G000
quarter,2010,2,3,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",122.2,AB003C000D000E000F000G001
quarter,2010,2,3,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",124.6,AB003C000D000E000F000G002
quarter,2010,2,3,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",121.9,AB003C000D000E000F000G003
quarter,2010,2,3,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",146.5,AB003C000D000E000F001
quarter,2010,2,3,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",164.5,AB003C000D000E000F001G000
quarter,2010,2,3,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",145.1,AB003C000D000E000F001G001
quarter,2010,2,3,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",130.4,AB003C000D000E000F001G002
quarter,2010,2,3,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",147.6,AB003C000D000E000F001G003
quarter,2010,2,3,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.3,AB004C006
quarter,2010,2,3,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.8,AB004C006D000
quarter,2010,2,3,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",12.0,AB004C006D001
quarter,2010,2,3,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.6,AB004C006D002
quarter,2010,2,3,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.4,AB004C006D003
quarter,2010,2,3,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",10.3,AB004C006D004
quarter,2010,2,3,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.8,AB004C006D005
quarter,2010,2,3,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.4,AB004C006D006
quarter,2010,2,3,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.1,AB004C006D007
quarter,2010,2,3,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-0.2,AB004C006D008
quarter,2010,2,3,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.6,AB004C006D009
quarter,2010,2,4,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",128.8,AB003C000D000E000
quarter,2010,2,4,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",121.5,AB003C000D000E000F000
quarter,2010,2,4,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",116.1,AB003C000D000E000F000G000
quarter,2010,2,4,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.7,AB003C000D000E000F000G001
quarter,2010,2,4,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",128.2,AB003C000D000E000F000G002
quarter,2010,2,4,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.1,AB003C000D000E000F000G003
quarter,2010,2,4,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",148.7,AB003C000D000E000F001
quarter,2010,2,4,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",170.2,AB003C000D000E000F001G000
quarter,2010,2,4,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",147.1,AB003C000D000E000F001G001
quarter,2010,2,4,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",137.1,AB003C000D000E000F001G002
quarter,2010,2,4,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",148.8,AB003C000D000E000F001G003
quarter,2010,2,4,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7.4,AB004C006
quarter,2010,2,4,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.6,AB004C006D000
quarter,2010,2,4,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",12.2,AB004C006D001
quarter,2010,2,4,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.3,AB004C006D002
quarter,2010,2,4,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",8.9,AB004C006D003
quarter,2010,2,4,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.4,AB004C006D004
quarter,2010,2,4,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.4,AB004C006D005
quarter,2010,2,4,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",8.4,AB004C006D006
quarter,2010,2,4,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.6,AB004C006D007
quarter,2010,2,4,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.8,AB004C006D008
quarter,2010,2,4,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.8,AB004C006D009
quarter,2011,1,1,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",132.2,AB003C000D000E000
quarter,2011,1,1,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",124.2,AB003C000D000E000F000
quarter,2011,1,1,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",116.4,AB003C000D000E000F000G000
quarter,2011,1,1,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",127.5,AB003C000D000E000F000G001
quarter,2011,1,1,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",128.0,AB003C000D000E000F000G002
quarter,2011,1,1,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",127.5,AB003C000D000E000F000G003
quarter,2011,1,1,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",153.8,AB003C000D000E000F001
quarter,2011,1,1,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",162.0,AB003C000D000E000F001G000
quarter,2011,1,1,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",153.2,AB003C000D000E000F001G001
